Unnamed: 0;ancienne_classe_risque;classe_risque_actuelle;anciennete;sexe_rec;situation_contractuelle;convention;employeur_client;rupture_revenu;duree_sommeil;max_credit;min_debit;nbr_mvt_credit;nbr_mvt_debit;nbr_open_comptes;nbr_closed_comptes;nbr_abonnements;nbr_placements_actifs;nbr_placements_echus;nbr_open_engagements;solde_moyen_mensuel;Engagement_Secteur;anciennete_dern_eng_anticip;sortie_risque;revenu_mensuel_y
11375;4;1;1;1;6;0;0;0;85;0;-15000;0;20;1;0;2;0;0;0;40.243;0;0;1;450
11376;4;1;1;1;6;0;0;0;85;0;-20.354;0;16;1;0;2;0;0;0;-60.299;0;0;1;450
11377;2;1;1;1;1;0;0;0;40;400;-58.015;3;10;1;0;1;0;0;0;-894.18;0;0;1;75
11381;4;1;1;1;5;0;0;0;1;15000;-15000;14;31;2;0;2;0;0;0;430.244;0;0;1;2050
11382;3;1;1;1;5;0;0;0;85;3650;-3000;1;12;1;0;1;0;0;0;-52.145;0;0;1;304.166666
11383;4;1;1;1;5;0;0;0;85;3650;-3000;1;12;1;0;1;0;0;0;-52.145;0;0;1;304.166666
11384;2;1;1;0;5;0;0;0;25;1884;-4000;108;265;2;0;2;0;0;0;551.724;0;0;1;1332.283333
11385;3;4;1;1;1;0;0;0;85;550;-281.657;3;43;1;0;2;0;0;0;-1165.443;0;0;0;112.5
11387;3;1;1;1;1;0;0;0;85;842.5;-730;1;20;1;0;2;0;0;0;-44.045;0;0;1;70.208333
11388;4;1;1;1;1;0;0;0;85;842.5;-730;1;20;1;0;2;0;0;0;-44.045;0;0;1;70.208333
11389;4;1;1;1;2;0;0;0;85;0;-20.101;0;8;1;0;0;0;0;0;-55.614;0;0;1;450
11391;4;1;1;1;5;0;0;0;85;0;-20.818;0;17;1;0;2;0;0;0;-71.288;0;0;1;450
11392;4;0;1;1;1;0;0;0;85;0;-20.157;0;11;1;0;2;0;0;0;-53.965;0;0;1;450
11393;4;1;1;0;2;0;1;0;85;0;-20.893;0;9;1;0;1;0;0;0;-67.915;0;0;1;450
11394;4;1;1;1;5;0;0;0;85;0;-19.964;0;8;1;0;0;0;0;0;-41.446;0;0;1;450
11397;4;1;1;0;1;0;0;0;85;0;-20.248;0;8;1;0;0;0;0;0;-59.637;0;0;1;450
11398;4;1;1;0;1;0;0;0;85;506.868;-514;8;34;1;0;2;0;0;0;-81.688;0;0;1;243.935916
11399;3;1;1;1;1;0;1;0;67;700;-650;2;26;1;0;2;0;0;0;-95.306;0;0;1;75
11400;4;1;1;1;1;0;1;0;67;700;-650;2;26;1;0;2;0;0;0;-95.306;0;0;1;75
11401;3;1;1;1;1;0;1;0;85;1150;-800;5;50;1;0;2;0;0;0;-515.355;0;0;1;241.666666
11402;2;1;1;1;1;0;1;0;85;1150;-800;5;50;1;0;2;0;0;0;-515.355;0;0;1;241.666666
11403;3;1;1;0;1;0;1;0;85;650;-650;1;18;1;0;2;0;0;0;-61.734;0;0;1;54.166666
11404;4;1;1;0;1;0;1;0;85;650;-650;1;18;1;0;2;0;0;0;-61.734;0;0;1;54.166666
11406;2;1;1;0;2;0;0;0;85;100;-197;8;22;1;0;0;0;0;0;42.813;0;0;1;64.166666
11407;2;1;1;1;2;0;0;0;85;634.156;-250;8;80;1;0;2;0;0;0;-464.565;0;0;1;414.437333
11408;3;1;1;1;2;0;0;0;85;634.156;-250;8;80;1;0;2;0;0;0;-464.565;0;0;1;414.437333
11409;2;1;1;1;2;0;0;0;68;10000;-10000;13;106;1;0;3;0;0;0;-41.198;0;0;1;1384.583333
11411;2;1;1;1;5;0;0;0;85;361;-350;7;33;2;0;0;0;0;0;-511.101;0;0;1;150
11413;4;1;1;1;4;0;0;0;85;0;-41.855;0;9;1;0;2;0;0;0;-636.69;0;0;1;450
11414;2;1;1;1;1;0;0;0;46;2400;-700;1;178;1;0;3;0;0;0;2462.248;0;0;1;200
11415;3;1;1;1;1;0;0;0;46;2400;-700;1;178;1;0;3;0;0;0;2462.248;0;0;1;200
11416;2;0;1;0;1;0;0;1;27;398.406;-300;14;116;1;0;1;0;0;0;-326.066;0;0;1;256.086083
11417;2;0;1;0;1;0;0;1;27;398.406;-300;14;116;1;0;1;0;0;0;-326.066;0;0;1;256.086083
11418;4;1;1;1;1;0;1;0;85;0;-20.148;0;16;1;0;2;0;0;0;-51.341;0;0;1;450
11424;3;1;1;0;5;0;0;0;85;498;-479;1;19;1;0;2;0;0;0;-46.336;0;0;1;41.5
11425;4;1;1;0;5;0;0;0;85;498;-479;1;19;1;0;2;0;0;0;-46.336;0;0;1;41.5
11427;2;1;1;1;5;0;0;0;85;22700;-22700;1;7;1;0;0;0;0;0;22.876;0;0;1;1891.666666
11431;4;1;1;1;1;0;1;0;85;352.08;-259.831;8;55;1;0;1;0;0;0;-1212.446;0;0;1;99.318333
11432;2;1;1;1;1;0;1;0;85;352.08;-259.831;8;55;1;0;1;0;0;0;-1212.446;0;0;1;99.318333
11434;4;1;1;1;5;0;0;0;85;0;-20.525;0;9;1;0;1;0;0;0;-63.877;0;0;1;450
11439;4;1;1;1;1;0;1;0;85;0;-22.502;0;13;1;0;2;0;0;0;-106.09;0;0;1;450
11440;2;1;1;1;5;0;0;0;85;8330;-2000;5;42;1;0;0;0;0;0;2167.917;0;0;1;1430
11441;3;1;1;1;5;0;0;0;85;8330;-2000;5;42;1;0;0;0;0;0;2167.917;0;0;1;1430
11443;4;1;1;1;5;0;0;0;85;0;-31.58;0;8;1;0;0;0;0;0;-372.75;0;0;1;450
11445;3;1;1;1;1;0;0;0;85;2600;-301;1;74;1;0;0;0;0;0;-152.3;0;0;1;216.666666
11446;4;1;1;1;1;0;0;0;85;2600;-301;1;74;1;0;0;0;0;0;-152.3;0;0;1;216.666666
11447;4;1;1;1;2;0;0;0;85;0;-20.899;0;9;1;0;1;0;0;0;-67.711;0;0;1;450
11449;3;1;1;1;2;0;0;0;85;25;-18.98;1;8;1;0;0;0;0;0;-24.537;0;0;1;2.083333
11451;4;1;1;0;2;0;0;0;85;0;-20.622;0;8;1;0;0;0;0;0;-70.023;0;0;1;450
11452;2;0;1;1;1;0;0;0;1;1941.388;-1100;17;55;2;0;1;0;0;0;256.076;0;0;1;450
11453;3;1;1;1;2;0;0;0;85;64.186;-20;1;10;1;0;1;0;0;0;-18.956;0;0;1;5.348833
11454;4;1;1;1;2;0;0;0;85;64.186;-20;1;10;1;0;1;0;0;0;-18.956;0;0;1;5.348833
11455;4;1;1;0;6;0;0;0;85;0;-20;0;17;1;0;1;0;0;0;-42.51;0;0;1;450
11456;2;1;1;0;2;0;0;0;85;525;-330;12;45;1;0;4;0;0;0;-191.934;0;0;1;278.083333
11457;3;1;1;0;2;0;0;0;85;525;-330;12;45;1;0;4;0;0;0;-191.934;0;0;1;278.083333
11463;2;1;1;1;6;0;0;0;63;1000;-18215.445;7;23;1;0;0;0;0;0;11731.328;0;0;1;387.5
11464;4;1;1;1;1;0;0;0;85;0;-250;0;16;1;0;1;0;0;0;-3.29;0;0;1;450
11466;4;1;1;1;1;0;0;0;85;0;-20.439;0;17;1;0;1;0;0;0;-62.173;0;0;1;450
11467;3;1;1;1;1;0;1;0;85;120;-40;1;12;1;0;2;0;0;0;33.24;0;0;1;10
11468;4;1;1;1;2;0;0;0;85;8150;-10000;32;167;1;0;2;0;0;0;516.148;0;0;1;4525.426916
11469;3;1;1;1;1;0;0;0;85;401.841;-390;1;18;1;0;1;0;0;0;-29.565;0;0;1;33.48675
11470;3;1;1;1;2;0;1;0;85;5000;-4000;1;22;1;0;2;0;0;0;-15.207;0;0;1;416.666666
11471;4;0;1;0;4;0;0;0;85;0;-21.301;0;8;3;0;1;0;0;0;-88.739;0;0;1;450
11472;2;1;0;0;1;0;1;0;7;20000;-7000;6;65;1;0;3;0;0;0;-772.67;0;0;1;494.416666
11477;4;1;1;0;5;0;0;0;85;0;-20.661;0;9;1;0;1;0;0;0;-61.114;0;0;1;450
11480;2;1;1;0;1;0;1;0;7;853.96;-450;12;105;1;0;2;0;0;0;-147.115;0;0;1;538.396833
